Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
315750;743;24839;1903000;358000;139899;18114;1210;827;936
1505250;793;53115;2247000;373500;176222;34822;1442;694;968
439000;699;32985;2411000;366000;14036;18172;2001;500;944
602000;648;38059;1040500;366000;170166;21175;1732;577;947
296000;865;22361;966000;360000;153435;17000;1148;871;966
2603750;810;65069;1395000;400500;43755;53632;1157;864;975
1116750;794;45486;2701500;381000;33341;36704;1194;838;964
958000;754;41367;293500;354000;97640;33002;1228;814;958
373500;763;27613;1667500;362000;174806;18000;1571;636;956
1161250;726;47321;480500;364000;173326;36960;1164;859;961
564500;829;31468;805500;355000;107571;25883;1125;889;958
84500;641;15882;1824500;357500;151821;7856;1807;553;872
2718750;691;83860;2773500;404500;25801;47937;1666;600;935
153750;628;21290;115000;378500;80538;12000;1715;583;936
1320500;704;58045;604000;413500;72970;32649;1717;583;962
492000;809;32500;2045500;365000;157380;21000;1519;658;961
37500;763;9487;2403500;362500;18435;6252;1327;754;870
391500;792;27244;1583500;363000;132769;21787;1194;837;953
4207250;786;87912;2841500;394500;174452;65134;1378;726;976
51000;627;11543;2071500;360500;175030;8000;1245;803;895
2430500;727;73570;2403000;386000;170218;49169;1461;685;940
731250;787;36749;955000;396500;75018;27017;1253;798;965
258250;690;23259;12500;369000;154537;17743;1167;857;921
